DATADATE,COUNTRY,EXHRATE
2016/10/3,CAD,24.25
2016/10/4,CAD,24.13
2016/10/5,CAD,24.17
2016/10/6,CAD,24.12
2016/10/7,CAD,24.28
2016/10/8,CAD,
2016/10/9,CAD,
2016/10/10,CAD,
2016/10/11,CAD,24.27
2016/10/12,CAD,24.2
2016/10/13,CAD,24.43
2016/10/14,CAD,24.47
2016/10/15,CAD,
2016/10/16,CAD,
2016/10/17,CAD,24.58
2016/10/18,CAD,24.52
2016/10/19,CAD,24.38
2016/10/20,CAD,24.2
2016/10/21,CAD,24.05
2016/10/22,CAD,
2016/10/23,CAD,
2016/10/24,CAD,24.1
2016/10/25,CAD,24.05
2016/10/26,CAD,23.97
2016/10/27,CAD,23.99
2016/10/28,CAD,23.97
2016/10/29,CAD,
2016/10/30,CAD,
2016/10/31,CAD,23.89
2016/11/1,CAD,23.95
2016/11/2,CAD,23.93
2016/11/3,CAD,23.86
2016/11/4,CAD,23.92
2016/11/5,CAD,
2016/11/6,CAD,
2016/11/7,CAD,23.94
2016/11/8,CAD,24.06
2016/11/9,CAD,23.8
2016/11/10,CAD,23.84
2016/11/11,CAD,23.88
2016/11/12,CAD,
2016/11/13,CAD,
2016/11/14,CAD,23.97
2016/11/15,CAD,24.04
2016/11/16,CAD,24.1
2016/11/17,CAD,23.9
2016/11/18,CAD,24.05
2016/11/19,CAD,
2016/11/20,CAD,
2016/11/21,CAD,24.22
2016/11/22,CAD,24.13
2016/11/23,CAD,23.97
2016/11/24,CAD,24.04
2016/11/25,CAD,24
2016/11/26,CAD,
2016/11/27,CAD,
2016/11/28,CAD,24.1
2016/11/29,CAD,24.06
2016/11/30,CAD,24.11
2016/12/1,CAD,24.34
2016/12/2,CAD,24.3
2016/12/3,CAD,
2016/12/4,CAD,
2016/12/5,CAD,24.49
2016/12/6,CAD,24.42
2016/12/7,CAD,24.48
2016/12/8,CAD,24.44
2016/12/9,CAD,24.63
2016/12/10,CAD,
2016/12/11,CAD,
2016/12/12,CAD,24.64
2016/12/13,CAD,24.6
2016/12/14,CAD,24.29
2016/12/15,CAD,24.31
2016/12/16,CAD,24.33
2016/12/17,CAD,
2016/12/18,CAD,
2016/12/19,CAD,24.22
2016/12/20,CAD,24.31
2016/12/21,CAD,24.2
2016/12/22,CAD,24.13
2016/9/1,AUD,24.33
2016/9/2,AUD,24.25
2016/9/3,AUD,
2016/9/4,AUD,
2016/9/5,AUD,24.5
2016/9/6,AUD,24.31
2016/9/7,AUD,24.29
2016/9/8,AUD,24.11
2016/9/9,AUD,24.16
2016/9/10,AUD,24.33
2016/9/11,AUD,
2016/9/12,AUD,24.03
2016/9/13,AUD,24.12
2016/9/14,AUD,24.05
2016/9/15,AUD,
2016/9/16,AUD,
2016/9/17,AUD,
2016/9/18,AUD,
2016/9/19,AUD,24.06
2016/9/20,AUD,24.34
2016/9/21,AUD,24.37
2016/9/22,AUD,24.19
2016/9/23,AUD,24.35
2016/9/24,AUD,
2016/9/25,AUD,
2016/9/26,AUD,24.48
2016/9/27,AUD,24.53
2016/9/29,AUD,24.27
2016/9/30,AUD,24.35
2016/10/1,AUD,
2016/10/2,AUD,
2016/10/3,AUD,24.44
2016/10/4,AUD,24.2
2016/10/5,AUD,24.25
2016/10/6,AUD,24.16
2016/10/7,AUD,24.28
2016/10/8,AUD,
2016/10/9,AUD,
2016/10/10,AUD,
2016/10/11,AUD,24.25
2016/10/12,AUD,24.24
2016/10/13,AUD,24.37
2016/10/14,AUD,24.42
2016/10/15,AUD,
2016/10/16,AUD,
2016/10/17,AUD,24.63
2016/10/18,AUD,24.64
2016/10/19,AUD,24.69
2016/10/20,AUD,24.42
2016/10/21,AUD,24.39
2016/10/22,AUD,
2016/10/23,AUD,
2016/10/24,AUD,24.4
2016/10/25,AUD,24.51
2016/10/26,AUD,24.48
2016/10/27,AUD,24.36
2016/10/28,AUD,24.37
2016/10/29,AUD,
2016/10/30,AUD,
2016/10/31,AUD,24.35
2016/11/1,AUD,24.5
2016/11/2,AUD,24.51
2016/11/3,AUD,24.52
2016/11/4,AUD,24.5
2016/11/5,AUD,
2016/11/6,AUD,
2016/11/7,AUD,24.66
2016/11/8,AUD,24.74
2016/11/9,AUD,24.38
2016/11/10,AUD,24.39
2016/11/11,AUD,24.38
2016/11/12,AUD,
2016/11/13,AUD,
2016/11/14,AUD,24.54
2016/11/15,AUD,24.39
2016/11/16,AUD,24.22
2016/11/17,AUD,23.92
2016/11/18,AUD,23.77
2016/11/19,AUD,
2016/11/20,AUD,
2016/11/21,AUD,23.94
2016/11/22,AUD,24
2016/11/23,AUD,23.86
2016/11/24,AUD,24.02
2016/11/25,AUD,24.13
2016/11/26,AUD,
2016/11/27,AUD,
2016/11/28,AUD,24.17
2016/11/29,AUD,24.17
2016/11/30,AUD,23.89
2016/12/1,AUD,24.01
2016/12/2,AUD,24.08
2016/12/3,AUD,
2016/12/4,AUD,
2016/12/5,AUD,24.25
2016/12/6,AUD,24.21
2016/12/7,AUD,24.22
2016/12/8,AUD,24.04
2016/12/9,AUD,24.05
2016/12/10,AUD,
2016/12/11,AUD,
2016/12/12,AUD,24.23
2016/12/13,AUD,24.19
2016/12/14,AUD,23.9
2016/12/15,AUD,23.86
2016/12/16,AUD,23.66
2016/12/17,AUD,
2016/12/18,AUD,
2016/12/19,AUD,23.53
2016/12/20,AUD,23.61
2016/12/21,AUD,23.49
2016/12/22,AUD,23.48
